durofel,color,max_brix,Variety
76.25,3.007,25,13
73.66,3.011,16.4,5
75.28,3.589,19.8,5
77.44,3.609,24.1,13
75.7,2.827,24.1,5
74.89,3.141,24.1,5
75.24,3.112,23.4,13
79.51,3.44,23.9,5
75.45,2.814,25.5,13
71.59,2.872,25.5,5
76.35,2.768,24.8,5
75.77,2.926,24.8,13
71.81,2.389,24.8,5
71.25,2.994,24.6,5
71.57,3.427,24.8,5
76.88,3.533,24.8,2
73.95,3.124,23,13
72.76,3.182,16.7,5
72.76,3.235,16.2,5
73.67,3.096,17.4,5
72.27,2.463,24.7,5
70.55,2.971,24.7,5
73.21,2.773,24.2,5
76.6,2.92,24.4,5
70.7,3.064,25,5
78.91,2.94,19.8,5
76.57,4.543,24.6,5
75.42,2.85,23.8,13
77.41,2.912,24,13
74.48,2.972,18.7,11
77.17,2.936,23.8,13
79.19,2.276,23.8,5
78.18,2.926,23.6,5
78.6,3.35,23.5,2
77.59,2.95,23.6,5
78.01,2.981,24.5,13
77.97,2.708,24.2,5
77.02,2.746,23.8,5
76.92,2.789,23.8,16
76.5,2.983,23.5,5
74.26,2.749,24.8,17
72.45,3.008,20.6,5
76.21,4.35,24.7,13
77.02,2.922,18.1,5
76.99,2.99,17.3,5
76.11,3.077,17.5,13
72.47,2.432,17.5,5
77.41,2.928,21.6,5
73.11,3.795,19.3,2
76.08,2.859,18.6,5
72.9,2.909,22,5
73.81,3.149,20,5
76.29,3.17,19.8,5
75.14,2.179,20,13
