durofel_inf_65,durofel_65_70,durofel_sup_75,durofel_70_75,color_rojo,color_rojo_caoba,color_caoba,color_negro,color_caoba_oscuro,brix_rojo,brix_caoba_oscuro,brix_caoba,brix_negro,Temperatura_Ambiente,Temperatura_Pulpa,Variety
7.1,7.1,71.5,14.3,0,6.9,75.1,0,18,0,23,20,0,28,20.2,12
0,6,85,9,0,15,55,6,24,0,20.7,18.6,0,29,20,2
0,0,77,23,0,0,32,12,56,0,24,19.8,0,27.8,19.5,2
0,3,85,12,0,0,47,21,32,0,24,22.4,0,28,20,2
0,3,88,9,0,0,0,32,68,0,22.5,0,25.6,26.6,20,2
3,9,53,35,0,3,71,0,26,0,21.4,17.4,0,26.8,20,5
3,12,53,32,0,3,82,0,15,0,21.9,20.3,0,28,19.6,5
0,12,71,18,0,3,79,0,18,0,23.3,20.4,0,26.2,21,5
3,6,65,26,0,15,67,0,18,0,21.4,19.7,0,20,17.5,5
0,3,88,9,0,33,67,0,0,0,0,21.8,0,18.3,16.4,15
